Province,Statement,Share,Age_FR
British Columbia (n=217),Strongly support,62%,
British Columbia (n=217),Somewhat support,24%,
British Columbia (n=217),Neutral,7%,
British Columbia (n=217),Somewhat oppose,3%,
British Columbia (n=217),Strongly oppose,2%,
British Columbia (n=217),Don’t know,1%,
Alberta (n=170),Strongly support,59%,
Alberta (n=170),Somewhat support,29%,
Alberta (n=170),Neutral,6%,
Alberta (n=170),Somewhat oppose,3%,
Alberta (n=170),Strongly oppose,1%,
Alberta (n=170),Don’t know,1%,
Saskatchewan (n=44),Strongly support,47%,
Saskatchewan (n=44),Somewhat support,39%,
Saskatchewan (n=44),Neutral,12%,
Saskatchewan (n=44),Somewhat oppose,2%,
Saskatchewan (n=44),Strongly oppose,0%,
Saskatchewan (n=44),Don’t know,0%,
Manitoba (n=55),Strongly support,55%,
Manitoba (n=55),Somewhat support,30%,
Manitoba (n=55),Neutral,2%,
Manitoba (n=55),Somewhat oppose,9%,
Manitoba (n=55),Strongly oppose,4%,
Manitoba (n=55),Don’t know,0%,
Ontario (n=600),Strongly support,60%,
Ontario (n=600),Somewhat support,27%,
Ontario (n=600),Neutral,6%,
Ontario (n=600),Somewhat oppose,5%,
Ontario (n=600),Strongly oppose,1%,
Ontario (n=600),Don’t know,1%,
Quebec (n=309),Strongly support,61%,
Quebec (n=309),Somewhat support,28%,
Quebec (n=309),Neutral,6%,
Quebec (n=309),Somewhat oppose,3%,
Quebec (n=309),Strongly oppose,2%,
Quebec (n=309),Don’t know,1%,
New Brunswick (n=36),Strongly support,58%,
New Brunswick (n=36),Somewhat support,21%,
New Brunswick (n=36),Neutral,8%,
New Brunswick (n=36),Somewhat oppose,8%,
New Brunswick (n=36),Strongly oppose,3%,
New Brunswick (n=36),Don’t know,3%,
Nova Scotia (n=39),Strongly support,59%,
Nova Scotia (n=39),Somewhat support,30%,
Nova Scotia (n=39),Neutral,8%,
Nova Scotia (n=39),Somewhat oppose,3%,
Nova Scotia (n=39),Strongly oppose,0%,
Nova Scotia (n=39),Don’t know,0%,
Prince Edward Island (n=6),Strongly support,37%,
Prince Edward Island (n=6),Somewhat support,49%,
Prince Edward Island (n=6),Neutral,13%,
Prince Edward Island (n=6),Somewhat oppose,0%,
Prince Edward Island (n=6),Strongly oppose,0%,
Prince Edward Island (n=6),Don’t know,0%,
Newfoundland (n=19),Strongly support,54%,
Newfoundland (n=19),Somewhat support,31%,
Newfoundland (n=19),Neutral,0%,
Newfoundland (n=19),Somewhat oppose,10%,
Newfoundland (n=19),Strongly oppose,0%,
Newfoundland (n=19),Don’t know,6%,
