Response,Group,Share,Response_FR,Group_FR
Very effectively,Bell-to-bell,28%,,
Somewhat effectively,Bell-to-bell,48%,,
Not very effectively,Bell-to-bell,17%,,
Not at all effectively,Bell-to-bell,4%,,
Don’t know,Bell-to-bell,3%,,
Very effectively,Instructional time only,13%,,
Somewhat effectively,Instructional time only,50%,,
Not very effectively,Instructional time only,28%,,
Not at all effectively,Instructional time only,6%,,
Don’t know,Instructional time only,2%,,
Very effectively,Varies by teacher,5%,,
Somewhat effectively,Varies by teacher,27%,,
Not very effectively,Varies by teacher,45%,,
Not at all effectively,Varies by teacher,19%,,
Don’t know,Varies by teacher,4%,,
